id,SalePrice
1461,111090.88366096572
1462,139432.70844131062
1463,166966.62938443542
1464,176687.84792024342
1465,179646.35407660386
1466,154790.6920545337
1467,159858.9651855996
1468,145159.53592742636
1469,177431.37901302555
1470,108306.29959823028
1471,160469.10680302238
1472,87729.25286389655
1473,86890.88922075673
1474,130309.24561246064
1475,99083.27636333817
1476,332001.28499609104
1477,227595.50113765104
1478,275132.15450518933
1479,271985.6640556346
1480,435458.28392034234
1481,296929.99150650937
1482,189823.37576722493
1483,162307.18934375126
1484,144805.81184846774
1485,171699.96785599223
1486,172437.5958806155
1487,311073.11247007275
1488,209276.0638655678
1489,176045.80301759252
1490,213558.45392460102
1491,174709.324993794
1492,85462.47348354028
1493,168780.5766038671
1494,267325.6984396831
1495,263410.7700749268
1496,208967.19775009772
1497,166103.0366763023
1498,162256.68495362153
1499,151510.84930910158
1500,141847.98739699734
1501,159506.06845992617
1502,129024.09320356925
1503,260708.9165779816
1504,215734.94382718837
1505,202638.3563093465
1506,170937.80905605416
1507,220879.1205375823
1508,183363.97367028415
1509,143770.3458374432
1510,130327.82543383911
1511,144643.82088298292
1512,156184.62460730222
1513,137182.66111738642
1514,140539.93539376743
1515,175452.580671648
1516,139840.6431790528
1517,157440.84773602663
1518,119010.61530243534
1519,187617.57256940752
1520,115682.31927965791
1521,119455.12858501304
1522,160006.00289597324
1523,103701.60111298267
1524,114258.55796178586
1525,106715.29105939262
1526,103589.97429109646
1527,100882.74263548171
1528,119799.67078195003
1529,137762.45421663072
1530,165714.32067280932
1531,98837.1850615798
1532,84463.64999881366
1533,133533.22869965638
1534,114324.6382189767
1535,129041.75305449113
1536,95180.94521139073
1537,57589.705697777565
1538,134000.71402052225
1539,178439.57745541795
1540,78130.9345392061
1541,126462.038292789
1542,131585.71681357842
1543,164376.1795252886
1544,78308.77531117278
1545,104899.79746279467
1546,124874.02857784569
1547,119246.2759496247
1548,124202.67043376224
1549,108277.31756213192
1550,122699.51283803838
1551,92618.4183478398
1552,120895.17673065036
1553,130024.82968051021
1554,103535.12235609368
1555,151382.6990740137
1556,75524.56583443623
1557,105558.49421808492
1558,91476.2894238155
1559,58770.02215315885
1560,113416.5699648445
1561,114514.35607224476
1562,118786.06797225657
1563,107650.44832795112
1564,144859.45676705276
1565,141062.46835239034
1566,218650.27890599554
1567,71630.69421538283
1568,214397.3570451547
1569,120293.13708849964
1570,125032.33395271176
1571,108525.51911426739
1572,127504.39982380182
1573,221812.81253104587
1574,107803.56593946197
1575,205651.28850367267
1576,206340.72202986872
1577,162095.64258391518
1578,131976.96496176918
1579,134564.514523749
1580,176471.57916634405
1581,140337.68540611645
1582,112360.4100663928
1583,257029.30102275521
1584,193592.82216121262
1585,121963.30840584243
1586,63955.8317447283
1587,98541.76700226389
1588,136454.08757272293
1589,89144.07129603167
1590,118131.60992337021
1591,84778.18341675738
1592,103903.25428371048
1593,113852.70985696948
1594,114616.09336077838
1595,102009.13957751221
1596,195854.74680076647
1597,178449.68031197923
1598,209602.70415315655
1599,151933.30752749238
1600,143369.38341982593
1601,59616.6239888634
1602,107716.172027764
1603,57450.2250423518
1604,233609.18002599705
1605,212760.27097805456
1606,146671.2775936302
1607,154144.96173433773
1608,194649.56492324895
1609,164685.94208826727
1610,140085.12867394992
1611,127899.22006387115
1612,156353.81357236407
1613,148770.72665926453
1614,110612.24445220405
1615,83112.14684559191
1616,71097.11623238199
1617,83424.5987389023
1618,118070.26190085168
1619,124679.21818081696
1620,132350.73606168793
1621,123852.92646154299
1622,126833.39963939984
1623,225591.40683971668
1624,187482.3073911982
1625,106967.35231292107
1626,153057.31116428593
1627,173145.13337065262
1628,247864.32532085825
1629,166867.2029060883
1630,314840.49853159906
1631,212448.16475425893
1632,227987.52495481807
1633,155957.3437952918
1634,167916.4950163812
1635,157269.0153174255
1636,136915.54509989207
1637,183243.47526175005
1638,165663.93710877668
1639,168885.69308290878
1640,220251.76847004355
1641,166287.96120382697
1642,222783.39117731832
1643,197710.3398794498
1644,216552.39047082758
1645,180515.40560394435
1646,139442.77337609805
1647,143786.59380897612
1648,116102.77865915338
1649,126292.69085859769
1650,102432.44900323148
1651,106976.2881058709
1652,88306.63806874485
1653,90772.10530383728
1654,129906.89042771352
1655,119276.46877064228
1656,128496.80700770466
1657,134088.94875370167
1658,131369.00251074403
1659,105263.13413333232
1660,142423.59185391886
1661,397501.96127192926
1662,366253.2065459899
1663,344745.3968477047
1664,491678.9517897193
1665,280546.5934622009
1666,293531.5942876842
1667,344069.68157315545
1668,314983.89621263853
1669,280928.9456033851
1670,322734.5836154472
1671,234227.35338973356
1672,376351.0883207532
1673,257608.18428583062
1674,216365.26103023038
1675,176270.9696739226
1676,175836.43861063896
1677,198180.8849295944
1678,408070.47461020167
1679,350626.52495964145
1680,302391.0977477532
1681,227794.52862997865
